title,playlist,n_words,arousal,dominance,valence,negative,positive,surprise,trust,fear,disgust,anger,joy,anticipation,sadness,u_n_words,u_arousal,u_dominance,u_valence,u_negative,u_positive,u_surprise,u_trust,u_fear,u_disgust,u_anger,u_joy,u_anticipation,u_sadness,s_n_words,s_arousal,s_dominance,s_valence,s_negative,s_positive,s_surprise,s_trust,s_fear,s_disgust,s_anger,s_joy,s_anticipation,s_sadness,surprise_ratio,trust_ratio,fear_ratio,disgust_ratio,anger_ratio,joy_ratio,anticipation_ratio,sadness_ratio,sentiment,artist,wheel_playlist
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,sadness
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,trust
Twin Size Mattress,teen_angst,359,0.4483095238095238,0.48407142857142865,0.566095238095238,13,20,6,12,12,3,3,16,15,9,163,0.44830952380952366,0.4840714285714287,0.5660952380952381,13,12,6,7,9,3,3,8,9,6,115,0.4541688311688311,0.48180519480519496,0.5635584415584416,13,12,6,7,9,3,3,8,9,6,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.039473684210526314,0.039473684210526314,0.21052631578947367,0.19736842105263158,0.11842105263157894,0.07799442896935933,The Front Bottoms,anticipation
Visitation Of The Ghost,teen_angst,274,0.4457333333333334,0.5187333333333334,0.6184,39,43,1,38,7,34,4,1,1,1,66,0.44573333333333326,0.5187333333333334,0.6184,3,4,1,2,2,1,1,1,1,1,43,0.45446153846153836,0.5108846153846155,0.6096923076923078,3,4,1,2,2,1,1,1,1,1,0.011494252873563218,0.4367816091954023,0.08045977011494253,0.39080459770114945,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.058394160583941604,The Brobecks,disgust
Visitation Of The Ghost,teen_angst,274,0.4457333333333334,0.5187333333333334,0.6184,39,43,1,38,7,34,4,1,1,1,66,0.44573333333333326,0.5187333333333334,0.6184,3,4,1,2,2,1,1,1,1,1,43,0.45446153846153836,0.5108846153846155,0.6096923076923078,3,4,1,2,2,1,1,1,1,1,0.011494252873563218,0.4367816091954023,0.08045977011494253,0.39080459770114945,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.058394160583941604,The Brobecks,trust
What's Up?,teen_angst,253,0.4250833333333333,0.5109166666666666,0.5788055555555555,10,4,1,4,6,7,7,4,4,5,94,0.4250833333333333,0.5109166666666666,0.5788055555555554,8,2,1,2,5,5,5,2,1,4,55,0.4315882352941176,0.5072352941176471,0.5708823529411763,8,2,1,2,5,5,5,2,1,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.13157894736842105,-0.09486166007905138,Mom Jeans.,sadness
What's Up?,teen_angst,253,0.4250833333333333,0.5109166666666666,0.5788055555555555,10,4,1,4,6,7,7,4,4,5,94,0.4250833333333333,0.5109166666666666,0.5788055555555554,8,2,1,2,5,5,5,2,1,4,55,0.4315882352941176,0.5072352941176471,0.5708823529411763,8,2,1,2,5,5,5,2,1,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.13157894736842105,-0.09486166007905138,Mom Jeans.,joy
What's Up?,teen_angst,253,0.4250833333333333,0.5109166666666666,0.5788055555555555,10,4,1,4,6,7,7,4,4,5,94,0.4250833333333333,0.5109166666666666,0.5788055555555554,8,2,1,2,5,5,5,2,1,4,55,0.4315882352941176,0.5072352941176471,0.5708823529411763,8,2,1,2,5,5,5,2,1,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.13157894736842105,-0.09486166007905138,Mom Jeans.,anger
What's Up?,teen_angst,253,0.4250833333333333,0.5109166666666666,0.5788055555555555,10,4,1,4,6,7,7,4,4,5,94,0.4250833333333333,0.5109166666666666,0.5788055555555554,8,2,1,2,5,5,5,2,1,4,55,0.4315882352941176,0.5072352941176471,0.5708823529411763,8,2,1,2,5,5,5,2,1,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.13157894736842105,-0.09486166007905138,Mom Jeans.,disgust
What's Up?,teen_angst,253,0.4250833333333333,0.5109166666666666,0.5788055555555555,10,4,1,4,6,7,7,4,4,5,94,0.4250833333333333,0.5109166666666666,0.5788055555555554,8,2,1,2,5,5,5,2,1,4,55,0.4315882352941176,0.5072352941176471,0.5708823529411763,8,2,1,2,5,5,5,2,1,4,0.02631578947368421,0.10526315789473684,0.15789473684210525,0.18421052631578946,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.13157894736842105,-0.09486166007905138,Mom Jeans.,fear
